top_category,sub_category,naics_code,n_pois,naics_2digit
Household Appliance Manufacturing,Major Household Appliance Manufacturing,335220,1699,33
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",423610,1289,42
Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,Other Electronic Parts and Equipment Merchant Wholesalers,423690,422,42
"Independent Artists, Writers, and Performers","Independent Artists, Writers, and Performers",711510,4,71
Individual and Family Services,Child and Youth Services,624110,3582,62
Individual and Family Services,Other Individual and Family Services,624190,2083,62
Individual and Family Services,Services for the Elderly and Persons with Disabilities,624120,3420,62
Insurance Carriers,Direct Health and Medical Insurance Carriers,524114,23,52
Insurance Carriers,Direct Life Insurance Carriers,524113,1501,52
Insurance Carriers,Direct Property and Casualty Insurance Carriers,524126,161,52
Insurance Carriers,Direct Title Insurance Carriers,524127,759,52
Insurance Carriers,"Other Direct Insurance (except Life, Health, and Medical) Carriers",524128,725,52
Insurance and Employee Benefit Funds,Pension Funds,525110,4,52
Interurban and Rural Bus Transportation,Interurban and Rural Bus Transportation,485210,1396,48
Investigation and Security Services,Locksmiths,561622,5769,56
Investigation and Security Services,Security Guards and Patrol Services,561612,4,56
Investigation and Security Services,Security Systems Services (except Locksmiths),561621,234,56
"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,448310,45543,44
"Jewelry, Luggage, and Leather Goods Stores",Luggage and Leather Goods Stores,448320,7042,44
Junior Colleges,Junior Colleges,611210,2514,61
"Justice, Public Order, and Safety Activities",Correctional Institutions,922140,6582,92
"Justice, Public Order, and Safety Activities",Courts,922110,16244,92
"Justice, Public Order, and Safety Activities",Fire Protection,922160,21877,92
"Justice, Public Order, and Safety Activities","Other Justice, Public Order, and Safety Activities",922190,54,92
"Justice, Public Order, and Safety Activities",Parole Offices and Probation Offices,922150,171,92
"Justice, Public Order, and Safety Activities",Police Protection,922120,12076,92
Lawn and Garden Equipment and Supplies Stores,"Nursery, Garden Center, and Farm Supply Stores",444220,1205,44
Lawn and Garden Equipment and Supplies Stores,Outdoor Power Equipment Stores,444210,1050,44
Legal Services,Offices of Lawyers,541110,460955,54
Legal Services,Offices of Notaries,541120,5265,54
Lessors of Real Estate,Lessors of Miniwarehouses and Self-Storage Units,531130,34102,53
Lessors of Real Estate,Lessors of Other Real Estate Property,531190,3574,53
Lessors of Real Estate,Malls,531120,43766,53
Lumber and Other Construction Materials Merchant Wholesalers,"Brick, Stone, and Related Construction Material Merchant Wholesalers",423320,20,42
Lumber and Other Construction Materials Merchant Wholesalers,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",423310,56,42
Lumber and Other Construction Materials Merchant Wholesalers,Other Construction Material Merchant Wholesalers,423390,156,42
Lumber and Other Construction Materials Merchant Wholesalers,"Roofing, Siding, and Insulation Material Merchant Wholesalers",423330,1803,42
"Machinery, Equipment, and Supplies Merchant Wholesalers",Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,423810,1453,42
"Machinery, Equipment, and Supplies Merchant Wholesalers",Farm and Garden Machinery and Equipment Merchant Wholesalers,423820,5233,42
"Machinery, Equipment, and Supplies Merchant Wholesalers",Industrial Machinery and Equipment Merchant Wholesalers,423830,2247,42
"Machinery, Equipment, and Supplies Merchant Wholesalers",Industrial Supplies Merchant Wholesalers,423840,200,42
"Machinery, Equipment, and Supplies Merchant Wholesalers",Service Establishment Equipment and Supplies Merchant Wholesalers,423850,4833,42
"Machinery, Equipment, and Supplies Merchant Wholesalers",Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,423860,2,42
Management of Companies and Enterprises,"Corporate, Subsidiary, and Regional Managing Offices",551114,11482,55
Management of Companies and Enterprises,Offices of Other Holding Companies,551112,519,55
"Management, Scientific, and Technical Consulting Services",Administrative Management and General Management Consulting Services,541611,200,54
"Management, Scientific, and Technical Consulting Services",Environmental Consulting Services,541620,1,54
"Management, Scientific, and Technical Consulting Services",Marketing Consulting Services,541613,1,54
"Management, Scientific, and Technical Consulting Services",Other Management Consulting Services,541618,2,54
"Management, Scientific, and Technical Consulting Services","Process, Physical Distribution, and Logistics Consulting Services",541614,31,54
Medical Equipment and Supplies Manufacturing,Surgical Appliance and Supplies Manufacturing,339113,2,33
Medical Equipment and Supplies Manufacturing,Surgical and Medical Instrument Manufacturing,339112,19,33
Medical and Diagnostic Laboratories,Diagnostic Imaging Centers,621512,1233,62
Medical and Diagnostic Laboratories,Medical Laboratories,621511,11454,62
Metal and Mineral (except Petroleum) Merchant Wholesalers,Metal Service Centers and Other Metal Merchant Wholesalers,423510,66,42
Miscellaneous Durable Goods Merchant Wholesalers,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",423940,195,42
Miscellaneous Durable Goods Merchant Wholesalers,Other Miscellaneous Durable Goods Merchant Wholesalers,423990,774,42
Miscellaneous Durable Goods Merchant Wholesalers,Recyclable Material Merchant Wholesalers,423930,126,42
